id_employee,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augmentation_salaire_pourcentage,nombre_participation_pee,nb_formations_suivies,niveau_education,frequence_deplacement,annes_sous_responsable_actuel,ratio_loyaute,ratio_stagnation,ratio_salaire_comparatif,taux_volatilite,delta_evaluation,frustration_trajet,genre_M,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,heure_supplementaires_Oui,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,a_quitte_l_entreprise
14,35,2426,0,6,4,1,4,2,3,3,3,13,1,5,3,1,3,0.1428571428571428,0.0,0.7494200449174466,0.0,-1,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,29,4193,0,10,5,4,2,3,4,3,3,12,0,3,2,1,8,0.3103448275862069,0.0,1.29526720871346,0.0,1,3.75,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
16,31,2911,1,5,2,1,3,3,4,2,3,17,1,1,1,1,3,0.1612903225806451,0.6666666666666666,0.8984643874884787,0.1666666666666666,0,8.666666666666666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,34,2661,0,3,2,2,3,4,3,3,3,11,1,2,2,1,2,0.0588235294117647,0.3333333333333333,0.8220143196724342,0.0,0,4.75,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,28,2028,5,6,2,3,2,3,2,3,3,14,0,4,3,1,3,0.1428571428571428,0.0,0.6264731455451698,0.7142857142857143,1,6.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
20,29,9980,1,10,9,2,4,1,3,3,3,11,1,1,4,1,8,0.3448275862068966,0.7272727272727273,1.3680344490189498,0.0909090909090909,-1,5.25,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,32,3298,0,7,2,1,4,2,4,2,3,12,2,5,2,1,5,0.1875,0.0,1.0179098419570605,0.0,-1,1.6666666666666667,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22,22,2935,1,1,0,4,4,4,2,2,3,13,2,2,2,0,0,0.0454545454545454,0.0,0.9066561549186752,0.5,-1,5.333333333333333,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
23,53,15427,2,31,8,1,2,4,3,3,3,16,0,3,4,1,7,0.4716981132075472,0.1153846153846153,0.8978751303115323,0.0625,1,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,38,3944,5,6,2,4,3,4,3,3,3,11,0,3,3,1,2,0.0789473684210526,0.25,1.2172942439898866,0.7142857142857143,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26,24,4011,0,5,2,1,4,3,4,2,3,18,1,5,2,0,3,0.1666666666666666,0.2,0.5498182540095198,0.0,-1,3.6666666666666665,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,36,3407,7,10,3,3,2,1,2,3,4,23,0,4,4,1,3,0.1388888888888889,0.0,1.2974105102817974,0.6363636363636364,2,2.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
28,34,11994,0,13,6,1,3,2,3,3,3,11,0,4,4,1,11,0.3529411764705882,0.1538461538461538,0.7480564191959984,0.0,0,1.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,21,1232,1,0,0,3,3,4,4,3,3,14,0,6,2,1,0,0.0,0.0,0.3802501289542445,1.0,0,3.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,34,2960,2,8,2,2,3,1,3,3,3,11,0,2,1,1,3,0.1176470588235294,0.2,0.9135879721627952,0.2222222222222222,0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,53,19094,4,26,13,3,3,3,4,2,3,11,1,3,3,1,8,0.2641509433962264,0.2666666666666666,1.1113001710098138,0.1481481481481481,0,1.6666666666666667,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,32,3919,1,10,2,2,1,1,2,3,4,22,0,5,1,2,7,0.3125,0.5454545454545454,1.209578129360133,0.0909090909090909,3,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
35,42,6825,0,10,7,3,3,2,4,3,3,11,1,2,4,1,2,0.2142857142857142,0.4,0.985662169435812,0.0,0,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,44,10248,3,24,6,1,2,4,4,3,3,14,1,4,4,1,17,0.5,0.217391304347826,1.3611797199138571,0.12,1,1.75,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,46,18947,3,22,2,2,3,1,4,2,3,12,0,2,4,1,1,0.0434782608695652,0.6666666666666666,1.1027445448896482,0.1304347826086956,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,33,2496,4,7,1,3,3,4,4,3,3,11,0,3,3,1,0,0.0303030303030303,0.0,0.7710438714402089,0.5,0,0.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
40,44,6465,2,9,2,4,3,4,4,4,3,13,0,5,4,1,3,0.0909090909090909,0.2,0.8587067612454221,0.2,0,2.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41,30,2206,1,10,0,4,2,3,1,3,3,13,0,5,2,1,8,0.3333333333333333,0.0909090909090909,0.6814594472744795,0.0909090909090909,1,2.25,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,39,2086,3,19,0,4,3,4,3,4,3,14,1,6,3,1,0,0.0256410256410256,0.0,0.7943640517897944,0.15,0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
45,24,2293,2,6,0,2,3,4,1,2,3,16,1,2,3,1,0,0.0833333333333333,0.6666666666666666,0.7077220338409762,0.2857142857142857,0,0.3333333333333333,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
46,43,2645,1,6,3,4,4,3,4,2,3,12,2,3,2,1,4,0.1162790697674418,0.1666666666666666,0.8163649278279032,0.1428571428571428,-1,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,50,2683,1,3,2,1,2,3,3,3,3,14,0,2,2,1,2,0.06,0.0,1.0217060167555216,0.25,1,0.75,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
49,35,2014,1,2,2,4,3,4,1,3,3,13,0,3,3,1,2,0.0571428571428571,0.6666666666666666,0.766945925361767,0.3333333333333333,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
51,36,3419,9,6,1,2,2,1,4,4,3,14,1,3,4,1,0,0.0277777777777777,0.0,1.0552558367650666,1.2857142857142858,1,1.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
52,33,5376,2,10,3,3,4,1,1,3,3,19,2,3,3,2,3,0.1515151515151515,0.1666666666666666,0.7763985088479012,0.1818181818181818,-1,0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,35,1951,1,1,0,3,3,4,3,3,3,12,1,3,2,1,0,0.0285714285714285,0.0,0.6026869363701313,0.5,0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,27,2341,1,1,0,4,3,1,4,3,3,13,1,6,4,1,0,0.037037037037037,0.0,0.7231625412826639,0.5,0,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
55,26,2293,1,1,0,1,1,3,3,2,3,12,0,2,3,1,1,0.0384615384615384,0.0,0.7083347745241984,0.5,2,8.333333333333334,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
56,27,8726,1,9,8,4,3,3,4,3,3,15,0,0,3,2,7,0.3333333333333333,0.1,1.2602033832229884,0.1,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,30,4011,1,12,8,3,3,4,4,3,4,23,0,2,2,2,7,0.4,0.2307692307692307,1.239045259754278,0.0769230769230769,1,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
58,41,19545,1,23,15,2,3,3,4,3,3,12,0,0,3,1,8,0.5365853658536586,0.6521739130434783,1.2190063959634645,0.0416666666666666,0,3.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
60,34,4568,0,10,5,2,3,3,3,3,4,20,0,2,4,0,7,0.2647058823529412,0.8,0.6597076615359398,0.0,1,5.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,37,3022,4,8,0,2,3,2,1,3,4,21,0,1,2,1,0,0.027027027027027,0.0,0.9327239364445836,0.4444444444444444,1,4.75,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,46,5772,4,14,6,1,3,4,3,3,4,21,0,4,4,2,8,0.1956521739130435,0.0,0.833588577580001,0.2666666666666666,1,1.25,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
63,35,2269,1,1,0,4,4,4,4,3,3,19,0,2,1,1,1,0.0285714285714285,0.0,0.7009208911449656,0.5,-1,2.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
64,48,5381,9,23,0,1,2,3,4,3,3,13,0,2,2,1,0,0.0208333333333333,0.0,1.6622544359854825,0.375,1,0.25,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
65,28,3441,1,2,2,3,3,3,3,2,3,13,0,3,4,1,2,0.0714285714285714,0.6666666666666666,1.0629655294974996,0.3333333333333333,0,1.6666666666666667,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
68,44,5454,5,9,3,2,3,1,3,2,4,21,1,2,5,1,3,0.0909090909090909,0.2,0.787663219355739,0.5,1,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70,35,9884,2,10,0,3,2,1,3,3,3,13,1,3,2,0,3,0.1142857142857142,0.4,1.3128318063650042,0.1818181818181818,1,2.75,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
72,26,4157,7,5,2,3,2,4,3,2,3,19,1,2,3,1,0,0.0769230769230769,0.0,0.6003513023215634,1.1666666666666667,1,7.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
73,33,13458,1,15,14,1,3,4,3,3,3,12,0,1,2,2,12,0.4545454545454545,0.5,0.8393649566066156,0.0625,0,0.25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
74,35,9069,1,9,8,2,3,1,4,2,4,22,1,3,5,2,8,0.2571428571428571,0.1,1.3097392255843778,0.1,1,6.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,35,4014,3,4,2,3,3,1,3,3,3,15,1,3,4,1,2,0.0571428571428571,0.6666666666666666,1.239971995176682,0.6,0,5.75,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
76,31,5915,3,10,7,4,3,4,4,2,4,22,1,3,4,1,7,0.2258064516129032,0.125,1.827213341173412,0.2727272727272727,1,2.333333333333333,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
77,37,5993,1,7,5,1,2,3,3,4,3,18,1,2,4,1,7,0.1891891891891892,0.0,0.8215060574118803,0.125,1,0.2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,32,6162,1,9,8,1,3,4,2,3,4,22,1,3,3,1,8,0.28125,0.7,0.8446721718291351,0.1,1,0.25,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
79,38,2406,1,10,3,4,3,4,4,3,3,11,0,2,5,2,9,0.2631578947368421,0.8181818181818182,0.743241808768086,0.0909090909090909,0,7.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80,50,18740,5,29,3,2,2,3,4,2,3,12,1,2,2,1,8,0.54,0.4642857142857143,1.1687991742315331,0.1666666666666666,1,2.333333333333333,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
81,59,7637,7,28,16,1,3,1,4,2,3,11,0,3,3,1,9,0.3559322033898305,0.3181818181818182,1.1029306942097137,0.2413793103448276,0,8.333333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,36,10096,1,17,14,3,3,3,2,3,3,13,3,2,3,1,8,0.4722222222222222,0.6666666666666666,1.3409904812890614,0.0555555555555555,0,2.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84,55,14756,2,21,0,4,3,3,3,3,3,14,3,2,3,1,2,0.0909090909090909,0.0,0.858821898157579,0.0909090909090909,0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
85,36,6499,1,6,5,2,2,2,3,3,3,13,0,3,3,2,3,0.1666666666666666,0.0,0.8908673230635425,0.1428571428571428,1,2.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
86,45,9724,2,25,0,2,3,1,3,3,3,17,1,2,3,1,0,0.0222222222222222,0.0,3.0012599463888585,0.0769230769230769,0,1.75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,35,2194,4,5,2,2,3,1,4,2,3,13,1,2,3,2,2,0.0857142857142857,0.25,0.677166219907153,0.6666666666666666,0,0.3333333333333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,36,3388,0,2,0,4,2,3,1,2,3,17,1,0,3,1,0,0.0277777777777777,0.0,1.0456878546241724,0.0,1,3.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
91,59,5473,7,20,3,1,2,3,4,2,3,11,0,2,1,2,3,0.0677966101694915,0.2,0.790407187299956,0.3333333333333333,1,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,29,2703,0,6,4,3,3,2,4,3,4,23,1,3,3,1,4,0.1724137931034483,0.0,0.8342663137689309,0.0,1,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,31,2501,1,1,1,3,3,2,2,3,3,17,0,4,4,1,0,0.032258064516129,0.5,0.771920107560524,0.5,0,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,32,6220,1,10,4,2,3,2,2,3,3,17,2,3,3,1,9,0.3125,0.0,1.9197693198826304,0.0909090909090909,0,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,36,3038,3,5,0,2,4,4,2,3,3,12,0,3,3,1,0,0.0277777777777777,0.0,0.9384740710878824,0.5,-1,1.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,31,4424,1,11,7,3,3,4,4,3,4,23,0,2,4,1,8,0.3548387096774194,0.0833333333333333,0.6064313028516868,0.0833333333333333,1,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,35,4312,0,16,13,3,2,1,2,3,3,14,0,2,4,1,8,0.4285714285714285,0.125,0.6227363039717541,0.0,1,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,45,13245,4,17,0,4,3,1,2,4,3,14,0,3,4,1,0,0.0,0.0,0.8260803128440053,0.2222222222222222,0,1.2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,37,13664,4,16,2,1,3,3,1,4,3,13,0,3,4,1,2,0.1351351351351351,0.0,0.8522130158324264,0.2352941176470588,0,1.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
103,46,5021,8,16,2,2,3,2,4,3,4,22,1,2,2,1,2,0.0869565217391304,0.0,1.1853862952251668,0.4705882352941176,1,1.25,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
104,30,5126,1,10,8,4,2,4,3,2,3,12,2,1,1,1,0,0.3333333333333333,0.2727272727272727,1.5834819250811345,0.0909090909090909,1,0.3333333333333333,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
105,35,2859,1,6,4,2,2,3,1,3,3,18,0,3,3,1,4,0.1714285714285714,0.0,0.8824148690585918,0.1428571428571428,1,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,55,10239,3,24,0,1,3,4,4,3,3,14,1,4,2,1,0,0.0181818181818181,0.5,1.4787098832019456,0.12,0,0.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,38,5329,7,17,11,2,1,4,4,3,3,12,3,3,3,0,9,0.3421052631578947,0.0714285714285714,1.6447669944782215,0.3888888888888889,2,1.5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
110,34,4325,1,5,2,1,3,2,3,3,3,15,0,2,2,1,3,0.1470588235294117,0.1666666666666666,0.592860620441579,0.1666666666666666,0,0.25,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
112,56,7260,4,37,4,4,1,4,1,2,3,11,0,3,3,1,2,0.1071428571428571,0.0,0.99518337674124,0.1052631578947368,2,2.333333333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
113,23,2322,3,3,0,3,3,1,3,3,3,13,1,3,1,1,0,0.0,0.0,0.8842345773038842,0.75,0,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,51,2075,3,10,2,4,3,4,2,3,4,23,2,4,4,1,3,0.0784313725490196,0.0,0.6409920004961672,0.2727272727272727,1,2.25,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
117,30,4152,1,11,10,3,2,4,1,3,3,19,3,3,3,1,8,0.3666666666666666,0.8333333333333334,0.5514849919088929,0.0833333333333333,1,0.5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
118,46,9619,1,9,8,3,2,4,4,3,3,16,0,3,2,1,7,0.1956521739130435,0.4,1.3891698766011833,0.1,1,2.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
119,40,13503,1,22,3,3,2,2,4,2,4,22,1,3,4,2,11,0.55,0.4782608695652174,1.7935216391487911,0.0434782608695652,2,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
120,51,5441,0,11,7,3,3,4,4,1,4,22,0,2,4,1,0,0.196078431372549,0.0909090909090909,0.7857857676044327,0.0,1,10.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
121,30,5209,1,11,8,3,2,2,2,2,3,12,3,4,2,1,7,0.3666666666666666,0.1666666666666666,0.7522804748118893,0.0833333333333333,1,1.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
124,46,10673,2,21,9,3,2,1,3,2,3,13,1,5,3,2,5,0.217391304347826,0.8181818181818182,1.4176298937002925,0.0909090909090909,1,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
125,32,5010,1,12,8,2,3,3,1,3,3,16,0,0,4,1,7,0.34375,0.4166666666666667,0.7235410210803543,0.0769230769230769,0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,54,13549,9,16,3,1,3,3,1,1,3,12,1,5,4,1,3,0.074074074074074,0.0,0.8450405555850077,0.5294117647058824,0,1.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
128,24,4999,0,4,2,1,3,3,1,2,4,21,1,2,2,1,2,0.125,0.0,0.7219524080600183,0.0,1,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,28,4221,1,5,4,2,3,3,2,4,3,15,0,3,3,0,4,0.1785714285714285,0.0,0.6095941417126098,0.1666666666666666,0,0.8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,58,13872,0,38,10,4,3,3,3,2,3,13,0,1,4,1,8,0.6379310344827587,0.0263157894736842,2.003385438009317,0.0,0,3.333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
132,44,2042,4,17,2,2,3,2,3,4,3,12,1,3,3,0,2,0.0681818181818181,0.25,0.6307979108497221,0.2222222222222222,0,4.6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
133,37,2073,4,7,2,3,3,1,4,3,4,22,0,3,4,1,2,0.081081081081081,0.0,0.4894056542524936,0.5,1,1.5,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
134,32,2956,1,1,0,4,3,1,4,3,3,13,0,2,1,1,0,0.03125,0.0,0.9123533938220348,0.5,0,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,20,2926,1,1,0,4,2,4,2,3,3,18,0,5,3,2,0,0.05,0.5,0.9038759486514628,0.5,1,1.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
138,34,4809,1,16,13,1,3,3,3,3,3,14,0,3,4,1,10,0.4705882352941176,0.1176470588235294,1.4842718101793522,0.0588235294117647,0,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,37,5163,5,17,0,3,2,4,4,4,3,14,1,2,2,0,0,0.027027027027027,0.0,0.6857699935514485,0.2777777777777778,1,0.4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
140,59,18844,9,30,2,3,2,4,4,3,4,21,1,3,4,0,2,0.0508474576271186,0.5,1.096749786451709,0.2903225806451613,2,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
141,50,18172,3,28,3,1,3,2,1,2,3,19,0,1,3,2,7,0.16,0.0,1.1333734575312393,0.1034482758620689,0,0.3333333333333333,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
142,25,5744,1,6,4,3,2,3,4,3,3,11,0,1,3,1,3,0.24,0.0,0.8295448353464182,0.1428571428571428,1,1.25,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
143,25,2889,1,2,2,4,2,4,3,3,3,11,2,2,1,1,1,0.08,0.6666666666666666,0.8916742066142958,0.3333333333333333,1,1.75,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,22,2871,1,1,0,2,3,4,3,3,3,15,0,5,3,1,0,0.0,0.0,0.8868857992407211,0.5,0,3.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
145,51,7484,3,23,12,1,2,1,3,2,4,20,0,1,4,2,8,0.2549019607843137,0.8571428571428571,0.994054354394546,0.125,2,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
147,34,6074,1,9,7,1,1,3,4,3,4,24,0,3,3,2,6,0.2647058823529412,0.0,1.8763303185608289,0.1,3,1.75,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
148,54,17328,2,23,3,4,4,4,3,3,3,12,0,3,3,0,4,0.0925925925925925,0.6666666666666666,1.0085162544913615,0.0833333333333333,-1,6.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
150,24,2774,0,6,3,2,3,3,3,3,3,12,1,2,1,1,2,0.2083333333333333,0.1666666666666666,0.856921353916322,0.0,0,4.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
151,34,4505,6,12,0,3,2,2,3,3,3,15,1,3,4,1,0,0.0294117647058823,0.0,1.3904438562815515,0.4615384615384615,1,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,37,7428,2,12,3,3,3,4,1,3,3,12,0,3,3,1,3,0.1351351351351351,0.1666666666666666,1.0727470468233278,0.1538461538461538,0,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
